district_id,year,cpp_elementary,cpp_middle,cpp_high,cpp_total
365,2013,24148.0,0.0,0.0,24148.0
367,2013,14719.0,0.0,0.0,14719.0
369,2013,20598.0,22175.0,21509.0,21201.0
371,2013,11173.0,11294.0,11254.0,11225.0
375,2013,27076.0,0.0,0.0,27076.0
377,2013,11407.0,0.0,0.0,11407.0
381,2013,21726.0,0.0,0.0,21726.0
387,2013,15882.0,0.0,0.0,15882.0
388,2013,14481.0,15918.0,16117.0,15316.0
391,2013,32029.0,0.0,0.0,32029.0
399,2013,14080.0,0.0,17548.0,14949.0
401,2013,15632.0,11455.0,16081.0,15140.0
703,2013,0.0,0.0,12580.0,12580.0
405,2013,17156.0,0.0,0.0,17156.0
407,2013,14466.0,0.0,12734.0,13816.0
411,2013,13414.0,0.0,0.0,13414.0
413,2013,12125.0,0.0,0.0,12125.0
423,2013,17079.0,15831.0,16756.0,16553.0
728,2013,0.0,0.0,15772.0,15772.0
425,2013,9712.0,0.0,12648.0,10549.0
427,2013,13484.0,0.0,11666.0,12538.0
428,2013,0.0,0.0,16556.0,16556.0
435,2013,18929.0,0.0,0.0,18929.0
437,2013,24043.0,0.0,25245.0,24492.0
439,2013,15259.0,20985.0,22558.0,18372.0
441,2013,18332.0,0.0,0.0,18332.0
447,2013,18085.0,0.0,0.0,18085.0
735,2013,6863.0,0.0,0.0,6863.0
449,2013,14753.0,15512.0,14546.0,14809.0
450,2013,0.0,21483.0,17184.0,18654.0
453,2013,12678.0,13935.0,14748.0,13713.0
737,2013,9577.0,0.0,0.0,9577.0
461,2013,13335.0,11690.0,11284.0,12282.0
463,2013,16882.0,0.0,0.0,16882.0
467,2013,20361.0,0.0,0.0,20361.0
471,2013,17024.0,0.0,0.0,17024.0
473,2013,12776.0,10695.0,13092.0,12383.0
476,2013,15775.0,14633.0,13591.0,14651.0
485,2013,17325.0,16318.0,0.0,16865.0
705,2013,6380.0,0.0,0.0,6380.0
486,2013,13324.0,14840.0,12472.0,13505.0
491,2013,12723.0,13093.0,13053.0,12921.0
493,2013,0.0,0.0,19318.0,19318.0
495,2013,19680.0,0.0,0.0,19680.0
499,2013,15634.0,0.0,0.0,15634.0
501,2013,16012.0,0.0,0.0,16012.0
503,2013,13978.0,0.0,0.0,13978.0
507,2013,14337.0,0.0,0.0,14337.0
509,2013,16799.0,0.0,0.0,16799.0
511,2013,14130.0,0.0,0.0,14130.0
721,2013,6360.0,0.0,0.0,6360.0
515,2013,17250.0,25769.0,22338.0,20952.0
519,2013,,,,0.0
717,2013,8742.0,0.0,0.0,8742.0
739,2013,0.0,0.0,11819.0,11819.0
525,2013,17251.0,0.0,0.0,17251.0
731,2013,6319.0,0.0,0.0,6319.0
531,2013,16001.0,0.0,0.0,16001.0
534,2013,13543.0,13752.0,12793.0,13329.0
539,2013,11663.0,0.0,0.0,11663.0
727,2013,0.0,0.0,4554.0,4554.0
543,2013,12623.0,0.0,0.0,12623.0
549,2013,17840.0,0.0,0.0,17840.0
551,2013,19404.0,0.0,0.0,19404.0
553,2013,27285.0,0.0,0.0,27285.0
555,2013,10415.0,11682.0,0.0,11022.0
559,2013,17902.0,0.0,0.0,17902.0
563,2013,11510.0,0.0,0.0,11510.0
568,2013,13461.0,0.0,15417.0,14109.0
572,2013,16936.0,15359.0,14365.0,15680.0
573,2013,13926.0,0.0,0.0,13926.0
575,2013,11967.0,0.0,14418.0,12632.0
579,2013,0.0,0.0,0.0,0.0
581,2013,0.0,0.0,15852.0,15852.0
582,2013,12767.0,13798.0,13680.0,13307.0
725,2014,0.0,5400.0,5382.0,5393.0
5,2014,0.0,0.0,0.0,0.0
9,2014,16726.0,0.0,0.0,16726.0
15,2014,15779.0,0.0,0.0,15779.0
17,2014,18333.0,16781.0,0.0,17480.0
19,2014,12087.0,0.0,0.0,12087.0
23,2014,15383.0,0.0,0.0,15383.0
29,2014,11925.0,0.0,0.0,11925.0
31,2014,13567.0,0.0,0.0,13567.0
33,2014,12169.0,11689.0,0.0,11952.0
35,2014,22350.0,0.0,0.0,22350.0
39,2014,17407.0,0.0,0.0,17407.0
41,2014,12505.0,11315.0,11028.0,11809.0
47,2014,0.0,0.0,0.0,0.0
51,2014,13993.0,12892.0,14405.0,13863.0
53,2014,17857.0,0.0,0.0,17857.0
57,2014,16753.0,13829.0,18868.0,16437.0
63,2014,13291.0,0.0,0.0,13291.0
71,2014,13878.0,0.0,0.0,13878.0
723,2014,0.0,0.0,4224.0,4224.0
75,2014,15667.0,0.0,0.0,15667.0
79,2014,12595.0,0.0,0.0,12595.0
91,2014,0.0,0.0,0.0,0.0
93,2014,11864.0,0.0,0.0,11864.0
95,2014,16796.0,0.0,0.0,16796.0
99,2014,15823.0,0.0,0.0,15823.0
101,2014,14680.0,14829.0,18716.0,15943.0
103,2014,0.0,0.0,0.0,0.0
707,2014,0.0,0.0,6901.0,6901.0
105,2014,12913.0,0.0,19081.0,14765.0
107,2014,0.0,0.0,0.0,0.0
111,2014,14383.0,13270.0,12851.0,13559.0
112,2014,18064.0,15891.0,16333.0,16806.0
113,2014,15733.0,15803.0,13666.0,14820.0
114,2014,0.0,0.0,0.0,0.0
115,2014,20819.0,0.0,0.0,20819.0
117,2014,9739.0,0.0,0.0,9739.0
127,2014,16816.0,0.0,0.0,16816.0
131,2014,13577.0,12334.0,0.0,13107.0
141,2014,9817.0,9241.0,11477.0,10204.0
142,2014,16998.0,0.0,17735.0,17475.0
147,2014,0.0,0.0,0.0,0.0
149,2014,12856.0,0.0,0.0,12856.0
153,2014,15935.0,0.0,0.0,15935.0
159,2014,0.0,0.0,0.0,0.0
162,2014,0.0,0.0,0.0,0.0
165,2014,13385.0,15605.0,16269.0,14656.0
167,2014,14379.0,0.0,0.0,14379.0
171,2014,34707.0,0.0,0.0,34707.0
173,2014,15067.0,0.0,0.0,15067.0
172,2014,0.0,12263.0,13466.0,12947.0
174,2014,15468.0,0.0,15866.0,15599.0
175,2014,13226.0,0.0,12498.0,12983.0
185,2014,8567.0,10970.0,11402.0,10144.0
187,2014,25066.0,0.0,0.0,25066.0
189,2014,14323.0,0.0,0.0,14323.0
191,2014,19047.0,16696.0,16403.0,17255.0
195,2014,13460.0,0.0,0.0,13460.0
199,2014,12961.0,10750.0,11333.0,11571.0
203,2014,15294.0,15816.0,16226.0,15730.0
207,2014,17321.0,0.0,0.0,17321.0
208,2014,17727.0,18686.0,16054.0,17293.0
211,2014,15743.0,0.0,0.0,15743.0
709,2014,0.0,8842.0,8808.0,8814.0
215,2014,13035.0,0.0,0.0,13035.0
223,2014,17314.0,18104.0,0.0,17692.0
225,2014,14832.0,0.0,0.0,14832.0
227,2014,18181.0,0.0,0.0,18181.0
233,2014,19377.0,0.0,0.0,19377.0
235,2014,27952.0,0.0,0.0,27952.0
236,2014,0.0,0.0,0.0,0.0
238,2014,13980.0,15850.0,17893.0,15942.0
245,2014,16166.0,0.0,0.0,16166.0
247,2014,13177.0,0.0,0.0,13177.0
251,2014,15364.0,15061.0,16258.0,15588.0
255,2014,16228.0,19171.0,18603.0,17626.0
257,2014,20991.0,0.0,0.0,20991.0
260,2014,0.0,14928.0,12686.0,13379.0
259,2014,15352.0,0.0,0.0,15352.0
261,2014,11944.0,12027.0,0.0,11975.0
263,2014,16841.0,17436.0,17637.0,17194.0
267,2014,11020.0,10152.0,10916.0,10771.0
269,2014,18136.0,0.0,19819.0,18671.0
271,2014,21101.0,0.0,0.0,21101.0
274,2014,13268.0,14010.0,14652.0,13850.0
275,2014,0.0,0.0,16024.0,16024.0
276,2014,15976.0,17639.0,17343.0,16822.0
279,2014,17132.0,13065.0,14594.0,15223.0
281,2014,18545.0,0.0,0.0,18545.0
285,2014,13300.0,15495.0,15367.0,14447.0
288,2014,20271.0,0.0,0.0,20271.0
291,2014,15445.0,0.0,0.0,15445.0
295,2014,19230.0,19995.0,16315.0,18299.0
719,2014,0.0,0.0,7001.0,7001.0
305,2014,17300.0,17729.0,20187.0,18331.0
306,2014,16558.0,15146.0,16166.0,16038.0
315,2014,13122.0,11209.0,13894.0,12698.0
317,2014,16085.0,15573.0,21836.0,17814.0
319,2014,15182.0,12426.0,13648.0,13931.0
327,2014,17801.0,0.0,0.0,17801.0
333,2014,22777.0,0.0,0.0,22777.0
733,2014,0.0,9928.0,9404.0,9514.0
335,2014,10600.0,10781.0,10474.0,10596.0
339,2014,17581.0,0.0,0.0,17581.0
341,2014,21209.0,0.0,0.0,21209.0
342,2014,10949.0,12172.0,13366.0,12107.0
343,2014,15583.0,0.0,17143.0,16056.0
345,2014,16845.0,0.0,0.0,16845.0
351,2014,14610.0,14953.0,14016.0,14462.0
352,2014,13271.0,12371.0,12314.0,12735.0
353,2014,0.0,0.0,0.0,0.0
355,2014,13372.0,0.0,0.0,13372.0
357,2014,13031.0,12175.0,14462.0,13273.0
729,2014,6972.0,0.0,0.0,6972.0
359,2014,13518.0,13706.0,15244.0,14096.0
363,2014,16374.0,16372.0,16993.0,16568.0
365,2014,25068.0,0.0,0.0,25068.0
367,2014,15166.0,0.0,0.0,15166.0
369,2014,21253.0,24685.0,22390.0,22213.0
