municipality,entity_type,municipal_rate,county_rate,local_ed_rate,state_ed_rate,total_rate,equalization_ratio_pct,equalized_rate_status,equalized_rate_estimate,equalized_rate_estimate_rigorous,estimate_method,net_assessed_valuation,net_tax_commitment,equalized_valuation,source_rates,source_ratio,source_county,retrieved,vintage
Chandler's Purchase,unincorporated,-1.7,1.7,0,0.45,0.45,77.4,ESTIMATE (DRA 2025 official not yet published),0.35,0.3,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",112280,43,145065,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
Charlestown,town,8.03,3.41,23.34,1.76,36.54,55.76,ESTIMATE (DRA 2025 official not yet published),20.37,20.1,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",346788704,12499898,621930961,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
Chatham,town,0.42,0.74,6.37,0.94,8.47,102.29,ESTIMATE (DRA 2025 official not yet published),8.66,8.47,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",107211838,887827,104811651,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
Chester,town,4.89,0.6,10.26,1.15,16.9,88.71,ESTIMATE (DRA 2025 official not yet published),14.99,14.72,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",1165311618,19333913,1313619229,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
Chesterfield,town,4.65,3.38,12.05,1.57,21.65,61.34,ESTIMATE (DRA 2025 official not yet published),13.28,13.16,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",623140697,13372120,1015879845,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
Chichester,town,4.59,1.68,10.47,1.09,17.83,83.54,ESTIMATE (DRA 2025 official not yet published),14.9,14.7,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",562549847,9896627,673389810,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
Claremont,city,10.64,2.45,16.22,1.23,30.54,77.12,ESTIMATE (DRA 2025 official not yet published),23.55,22.89,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",1254613483,37240062,1626832836,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
Clarksville,town,4.08,4.91,6.37,2.49,17.85,57.25,ESTIMATE (DRA 2025 official not yet published),10.22,10.09,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",51032445,899386,89139642,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
Colebrook,town,7.25,2.47,6.28,1.08,17.08,95.27,ESTIMATE (DRA 2025 official not yet published),16.27,16.14,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",385557032,6530196,404699309,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
Columbia,town,4.33,5.31,10.05,2.02,21.71,39.98,ESTIMATE (DRA 2025 official not yet published),8.68,8.48,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",87376421,1853461,218550328,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
Concord,city,10.18,2.54,14.81,1.58,29.11,61.52,ESTIMATE (DRA 2025 official not yet published),17.91,18.67,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",5388187231,163538378,8758431780,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
Conway,town,2.5,0.81,7.12,1.11,11.54,83.72,ESTIMATE (DRA 2025 official not yet published),9.66,9.53,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",3334189700,37935228,3982548614,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
Cornish,town,2.68,2.02,11.57,1.03,17.3,96.76,ESTIMATE (DRA 2025 official not yet published),16.74,16.57,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",358388744,6135960,370389359,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
Crawford's Purchase,unincorporated,-4.15,4.15,0,1.06,1.06,77.4,ESTIMATE (DRA 2025 official not yet published),0.82,0.82,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",419590,444,542106,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
Croydon,town,0.36,1.52,6.28,0.82,8.98,100.49,ESTIMATE (DRA 2025 official not yet published),9.02,8.9,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",228044120,2018591,226932152,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
Cutt's Grant,unincorporated,0,0,0,0,0,77.4,ESTIMATE (DRA 2025 official not yet published),0.0,,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",0,0,,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
Dalton,town,5.07,3.09,7.68,1.23,17.07,70.49,ESTIMATE (DRA 2025 official not yet published),12.03,11.78,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",152177958,2543262,215885882,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
Danbury,town,7.37,2.42,12.45,1.46,23.7,54.38,ESTIMATE (DRA 2025 official not yet published),12.89,12.78,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",179051417,4206860,329259686,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
Danville,town,4.83,0.88,15.54,1.59,22.84,61.76,ESTIMATE (DRA 2025 official not yet published),14.11,13.85,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",599569499,13448717,970805536,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
Deerfield,town,2.57,0.54,11.39,1.04,15.54,100.07,ESTIMATE (DRA 2025 official not yet published),15.55,15.24,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",1346645025,20502240,1345703033,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
Deering,town,4.92,0.95,10.47,1.02,17.36,99.58,ESTIMATE (DRA 2025 official not yet published),17.29,17.14,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",427674884,7359449,429478695,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
Derry,town,5.39,0.62,11.84,1.14,18.99,90.77,ESTIMATE (DRA 2025 official not yet published),17.24,16.7,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",5805281468,106799960,6395594875,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
Dix's Grant,unincorporated,-3.93,3.93,0,1.12,1.12,77.4,ESTIMATE (DRA 2025 official not yet published),0.87,0.87,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",1350236,1519,1744491,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
Dixville,unincorporated,-4.13,4.13,0,1.08,1.08,77.4,ESTIMATE (DRA 2025 official not yet published),0.84,0.82,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",10885459,11493,14063901,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
Dorchester,town,6.71,0.96,7.55,0.89,16.11,95.96,ESTIMATE (DRA 2025 official not yet published),15.46,15.34,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",91710155,1465825,95571233,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
Dover,city,6.91,1.83,9.78,1.16,19.68,88.17,ESTIMATE (DRA 2025 official not yet published),17.35,16.69,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",6676274800,126348472,7572048089,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
Dublin,town,5.37,2.1,9.04,1.11,17.62,93.53,ESTIMATE (DRA 2025 official not yet published),16.48,16.33,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",479762260,8376686,512950134,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
Dummer,town,3.33,2.09,3.12,0.92,9.46,105.67,ESTIMATE (DRA 2025 official not yet published),10.0,9.38,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",196191194,1740773,185664043,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
Dunbarton,town,3.16,1.57,10.61,1,16.34,95.71,ESTIMATE (DRA 2025 official not yet published),15.64,15.51,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",747558401,12114508,781066138,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
Durham,town,5.12,1.9,10.79,1.06,18.87,94.62,ESTIMATE (DRA 2025 official not yet published),17.85,17.65,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",2180851492,40685844,2304852560,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
East Kingston,town,3.61,0.55,10.76,1.02,15.94,91.56,ESTIMATE (DRA 2025 official not yet published),14.59,14.44,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",626560083,9880546,684316386,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
Easton,town,0.87,1.05,5.99,1.07,8.98,91.77,ESTIMATE (DRA 2025 official not yet published),8.24,8.19,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",136195528,1214797,148409641,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
Eaton,town,6.85,1.07,5.39,1.43,14.74,63.92,ESTIMATE (DRA 2025 official not yet published),9.42,9.31,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",149624762,2178449,234081292,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
Effingham,town,5.45,0.66,8.3,0.97,15.38,94.69,ESTIMATE (DRA 2025 official not yet published),14.56,14.41,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",394046973,5997248,416144232,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
Ellsworth,town,2.97,0.84,2.76,0.79,7.36,102.73,ESTIMATE (DRA 2025 official not yet published),7.56,7.53,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",43928089,322046,42760721,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
Enfield,town,5.88,1.12,9.66,1.17,17.83,84.19,ESTIMATE (DRA 2025 official not yet published),15.01,14.32,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",1080400131,18381817,1283287957,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
Epping,town,3.23,0.56,10.18,1.03,15,96.26,ESTIMATE (DRA 2025 official not yet published),14.44,14.21,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",1750356500,25843231,1818363287,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
Epsom,town,2.74,1.64,12.12,1.04,17.54,102.23,ESTIMATE (DRA 2025 official not yet published),17.93,17.75,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",924091586,16042830,903933861,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
Errol,town,0.8,2.89,4.64,1.12,9.45,77.4,ESTIMATE (DRA 2025 official not yet published),7.31,7.22,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",144795351,1350851,187074097,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
Erving's Grant,unincorporated,-3.21,3.21,0,1.41,1.41,79.62,ESTIMATE (DRA 2025 official not yet published),1.12,1.12,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",46712,66,58669,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
Exeter,town,4.48,0.63,12.46,1.19,18.76,87.74,ESTIMATE (DRA 2025 official not yet published),16.46,15.64,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",3662502353,65284686,4174267555,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
Farmington,town,5.29,1.74,7.56,1.05,15.64,87.4,ESTIMATE (DRA 2025 official not yet published),13.67,13.28,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",1050240626,15961868,1201648314,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
Fitzwilliam,town,3.65,2.37,11.94,1.26,19.22,77.06,ESTIMATE (DRA 2025 official not yet published),14.81,14.53,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",499909239,9426580,648727276,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
Francestown,town,4.4,0.92,9.2,1.08,15.6,100.41,ESTIMATE (DRA 2025 official not yet published),15.66,15.56,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",413737346,6410913,412047949,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
Franconia,town,6.74,1.73,5.87,1.6,15.94,63.98,ESTIMATE (DRA 2025 official not yet published),10.2,10.16,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",437690201,6948528,684104722,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
Franklin,city,9.42,1.99,5.01,1.21,17.63,80.46,ESTIMATE (DRA 2025 official not yet published),14.19,13.85,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",1158642112,19947232,1440022511,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
Freedom,town,2.96,0.71,2.63,1.09,7.39,97.63,ESTIMATE (DRA 2025 official not yet published),7.21,7.19,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",1187005513,8736956,1215820458,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
