municipality,entity_type,municipal_rate,county_rate,local_ed_rate,state_ed_rate,total_rate,equalization_ratio_pct,equalized_rate_status,equalized_rate_estimate,equalized_rate_estimate_rigorous,estimate_method,net_assessed_valuation,net_tax_commitment,equalized_valuation,source_rates,source_ratio,source_county,retrieved,vintage
Atkinson,town,2.84,0.7,7.95,1.33,12.82,74.02,ESTIMATE (DRA 2025 official not yet published),9.49,9.33,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",1607638629,20266721,2171897634,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
Atkinson & Gilmanton,unincorporated,-3.84,3.84,0,1.17,1.17,77.4,ESTIMATE (DRA 2025 official not yet published),0.91,0.84,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",930730,1008,1202494,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
Auburn,town,2.21,0.61,9.93,1.13,13.88,87.51,ESTIMATE (DRA 2025 official not yet published),12.15,11.97,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",1457691275,19931791,1665742515,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
Barnstead,town,3.98,0.96,11.08,1.13,17.15,83.23,ESTIMATE (DRA 2025 official not yet published),14.27,14.07,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",1087203921,18375800,1306264473,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
Barrington,town,3.39,1.89,13.13,1.15,19.56,79.71,ESTIMATE (DRA 2025 official not yet published),15.59,15.27,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",1908779948,36564839,2394655561,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
Bartlett,town,1.36,0.84,2.61,1.21,6.02,87,ESTIMATE (DRA 2025 official not yet published),5.24,5.18,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",2102928725,12524203,2417159454,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
Bath,town,5.7,1.6,14.82,1.39,23.51,62.21,ESTIMATE (DRA 2025 official not yet published),14.63,14.43,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",158925742,3685777,255466552,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
Bean's Grant,unincorporated,0,0,0,0,0,77.4,ESTIMATE (DRA 2025 official not yet published),0.0,,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",0,0,,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
Bean's Purchase,unincorporated,0,0,0,0,0,77.4,ESTIMATE (DRA 2025 official not yet published),0.0,,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",0,0,,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
Bedford,town,3.87,1.02,10.45,1.15,16.49,86.42,ESTIMATE (DRA 2025 official not yet published),14.25,14.16,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",6289466759,103071961,7277790742,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
Belmont,town,5.39,0.92,9.98,1.1,17.39,85.09,ESTIMATE (DRA 2025 official not yet published),14.8,14.56,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",1513783248,25902935,1779037781,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
Bennington,town,6.66,0.96,11.87,1.18,20.67,85.79,ESTIMATE (DRA 2025 official not yet published),17.73,17.53,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",220463980,4504174,256980977,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
Benton,town,-1.53,0.97,8.05,1.06,8.55,94.83,ESTIMATE (DRA 2025 official not yet published),8.11,8.04,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",56075532,475215,59132692,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
Berlin,city,16.2,3.5,12.66,1.24,33.6,79,ESTIMATE (DRA 2025 official not yet published),26.54,26.2,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",749949067,24870751,949302616,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
Bethlehem,town,4.5,1.18,9.28,1.23,16.19,77.38,ESTIMATE (DRA 2025 official not yet published),12.53,12.34,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",546158843,8711254,705813961,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
Boscawen,town,5.79,1.69,12.25,1.07,20.8,77.41,ESTIMATE (DRA 2025 official not yet published),16.1,15.95,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",539273438,11109601,696645702,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
Bow,town,4.62,1.64,12.58,1.21,20.05,84.16,ESTIMATE (DRA 2025 official not yet published),16.87,15.81,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",2099184350,39429280,2494277982,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
Bradford,town,6.53,1.56,7.97,0.83,16.89,95.68,ESTIMATE (DRA 2025 official not yet published),16.16,16.02,"total_rate * equalization_ratio; +0.13 bias, median|err| 0.085 vs DRA 2024",462644029,7746625,483532639,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-municipal-and-village-district-tax-rates.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/ratio-median-ratio-cod-prd-ten-year-history.xlsx,https://www.revenue.nh.gov/sites/g/files/ehbemt736/files/documents/2025-tables-by-county.xlsx,2026-08-21,2025
