geoid,town,district_id,district,grade_span,sau_id,sau
3300927300,Franconia,450,Profile,7-12,35,SAU #35 Office
3301327380,Franklin,185,Franklin,P-12,18,Franklin SAU Office
3300327700,Freedom,187,Freedom,P-6,13,Tamworth SAU Office
3301527940,Fremont,189,Fremont,P-8,83,Fremont SAU Office
3300128740,Gilford,191,Gilford,K-12,73,Gilford SAU Office
3300128980,Gilmanton,195,Gilmanton,K-8,79,Gilmanton SAU Office
3300529220,Gilsum,363,Monadnock Regional,P-12,93,Monadnock Regional SAU Office
3301129860,Goffstown,199,Goffstown,P-12,19,Goffstown SAU Office
3300730260,Gorham,203,Gorham Randolph Shelburne Cooperative,K-12,20,Gorham SAU Office
3301930500,Goshen,204,Goshen,P-12,102,Goshen SAU Office
3300930820,Grafton,343,Mascoma Valley Regional,P-12,62,Mascoma Valley SAU Office
3301931220,Grantham,211,Grantham,P-6,75,Grantham SAU Office
3301131540,Greenfield,112,Contoocook Valley,P-12,1,Contoocook Valley SAU Office
3301531700,Greenland,215,Greenland,K-8,50,Greenland SAU Office
3301131940,Greenville,342,Mascenic Regional,P-12,87,Mascenic Regional SAU Office
3300932180,Groton,584,Pasquaney,P-6,108,Pasquaney SAU Office
3300332500,Hale's Location,222,Hale's Location (Carroll County),PS-12,97,Hale's Location c/o Carroll Cty
3301532900,Hampstead,223,Hampstead,P-8,55,Hampstead SAU Office
3301533060,Hampton,225,Hampton,P-8,90,Hampton SAU Office
3301533060,Hampton,581,Winnacunnet Cooperative,9-12,21,Winnacunnet SAU Office
3301533460,Hampton Falls,227,Hampton Falls,P-8,21,Winnacunnet SAU Office
3301533460,Hampton Falls,581,Winnacunnet Cooperative,9-12,21,Winnacunnet SAU Office
3301133700,Hancock,112,Contoocook Valley,P-12,1,Contoocook Valley SAU Office
3300933860,Hanover,142,Dresden,6-12,70,Hanover SAU Office
3300933860,Hanover,233,Hanover,K-5,70,Hanover SAU Office
3300534420,Harrisville,235,Harrisville,K-6,29,Keene SAU Office
3300334500,Hart's Location,236,Hart's Location,P-12,9,Conway SAU Office
3300934820,Haverhill,238,Haverhill Cooperative,P-12,23,Haverhill Cooperative SAU Office
3300935220,Hebron,584,Pasquaney,P-6,108,Pasquaney SAU Office
3301335540,Henniker,245,Henniker,P-8,24,Henniker SAU Office
