geoid,name,website,source
3301900260,Acworth,https://www.acworthnh.net/,granit
3300300420,Albany,https://albanynh.org/,granit
3300900580,Alexandria,http://www.alexandrianh.com/,granit
3301300660,Allenstown,https://www.allenstownnh.gov/,granit
3300500820,Alstead,https://www.alsteadnh.org,granit
3300101060,Alton,https://www.alton.nh.gov/,granit
3301101300,Amherst,https://www.amherstnh.gov/,granit
3301301460,Andover,https://www.andover-nh.gov/,granit
3301101700,Antrim,https://www.antrimnh.org/,granit
3300902020,Ashland,https://ashlandnh.org/,granit
3301502340,Atkinson,https://www.town-atkinsonnh.com/,granit
3301502820,Auburn,https://www.auburnnh.gov/,verified
3300103220,Barnstead,https://www.barnstead.org/,granit
3301703460,Barrington,https://www.barrington.nh.gov/,granit
3300303700,Bartlett,http://www.townofbartlettnh.org/,granit
3300903940,Bath,http://www.bath-nh.org/,granit
3301104500,Bedford,https://www.bedfordnh.org/,granit
3300104740,Belmont,https://www.belmontnh.org/,granit
3301104900,Bennington,https://townofbennington.com/,granit
3300905060,Benton,https://www.tobentonnh.org/,granit
3300705140,Berlin,https://www.berlinnh.gov/,granit
3300905460,Bethlehem,https://bethlehemnh.org/,granit
3301306260,Boscawen,https://www.boscawennh.gov/,granit
3301306500,Bow,https://bownh.gov/,granit
3301306980,Bradford,https://www.bradfordnh.org/,granit
3301507220,Brentwood,https://www.brentwoodnh.gov/,granit
3300907540,Bridgewater,https://www.bridgewater-nh.com,granit
3300907700,Bristol,https://www.bristolnh.gov,granit
3300307940,Brookfield,https://www.brookfieldnh.org/,granit
3301108100,Brookline,https://www.brooklinenh.gov/,verified
3300908660,Campton,https://www.camptonnh.gov,granit
3300908980,Canaan,https://www.canaannh.org/,granit
3301509300,Candia,https://www.candianh.org/,granit
3301309860,Canterbury,https://www.canterburynh.gov,granit
3300710100,Carroll,https://carrollnh.org/,granit
3300110660,Center Harbor,https://www.centerharbornh.org/,granit
3301911380,Charlestown,https://www.charlestown-nh.gov/,granit
3300311780,Chatham,https://www.chathamnh.org/,granit
3301512100,Chester,https://www.chesternh.org/,granit
3300512260,Chesterfield,https://www.chesterfield.nh.gov/,granit
3301312420,Chichester,https://www.chichesternh.org/,granit
3301912900,Claremont,https://www.claremontnh.com/,granit
3300713780,Colebrook,https://colebrooknh.org/,granit
3300713940,Columbia,https://columbianh.org/,granit
3301314200,Concord,https://www.concordnh.gov/,granit
3300314660,Conway,https://conwaynh.org/,granit
3301915060,Cornish,https://cornish.nh.gov/,granit
3301916340,Croydon,https://www.croydon-nh.com/,granit
3300716820,Dalton,https://townofdaltonnh.gov/,granit
3301316980,Danbury,https://townofdanburynh.com/,granit
3301517140,Danville,https://www.townofdanville.org/,granit
3301517460,Deerfield,https://www.townofdeerfieldnh.com/,granit
3301117780,Deering,https://www.deering.nh.us/,granit
3301517940,Derry,https://www.derrynh.org/,granit
3300918740,Dorchester,https://www.townofdorchester.org/,granit
