geoid,name,form_of_government,governing_body,sb2,year_incorporated,population_2020
3300773380,Stewartstown,Town meeting,Select board,false,1795,813
3301551620,Newington,Town meeting,Select board,false,1764,811
3301916340,Croydon,Town meeting,Select board,false,1763,801
3300761780,Pittsburg,Town meeting,Select board,false,1840,800
3301930500,Goshen,Town meeting,Select board,false,1791,796
3300961060,Piermont,Town meeting,Select board,false,1764,769
3300300420,Albany,Town meeting,Select board,false,1766,759
3300307940,Brookfield,Town meeting,Select board,false,1794,755
3300529220,Gilsum,Town meeting,Select board,false,1763,752
3300545700,Marlow,Town meeting,Select board,false,1761,749
3300774180,Stratford,Town meeting,Select board,false,1773,662
3300713940,Columbia,Town meeting,Select board,false,1797,659
3300574900,Sullivan,Town meeting,Select board,false,1787,658
3301940900,Langdon,Town meeting,Select board,false,1787,651
3300974740,Sugar Hill,Town meeting,Select board,false,1962,647
3300935220,Hebron,Town meeting,Select board,false,1792,632
3300550580,Nelson,Town meeting,Select board,false,1774,629
3300944100,Lyman,Town meeting,Select board,false,1761,585
3300932180,Groton,Town meeting,Select board,false,1761,569
3300979380,Waterville Valley,Town meeting,Select board,false,1829,508
3300773060,Stark,Town meeting,Select board,false,1795,478
3300940660,Landaff,Town meeting,Select board,false,1774,446
3300323380,Eaton,Town meeting,Select board,false,1766,405
3300905060,Benton,Town meeting,Select board,false,1764,374
3301168820,Sharon,Town meeting,Select board,false,1791,359
3300768980,Shelburne,Town meeting,Select board,false,1820,353
3300311780,Chatham,Town meeting,Select board,false,1767,341
3300918740,Dorchester,Town meeting,Select board,false,1761,339
3300763860,Randolph,Town meeting,Select board,false,1824,328
3300719300,Dummer,Town meeting,Select board,false,1848,306
3300725140,Errol,Town meeting,Select board,false,1836,298
3300713220,Clarksville,Town meeting,Select board,false,1853,294
3300922020,Easton,Town meeting,Select board,false,1876,292
3300958340,Orange,Town meeting,Select board,false,1790,277
3301185940,Windsor,Town meeting,Select board,false,1798,262
3300565700,Roxbury,Town meeting,Select board,false,1812,220
3300923860,Ellsworth,Town meeting,Select board,false,1802,93
3300334500,Hart's Location,Town meeting,Select board,false,1795,68
