municipality,full_value_rate_official,local_total_rate,equalization_ratio,equalized_valuation_incl_util_rr,modified_local_assessed_value,rank,vintage,source
Sunapee,8.24,10.01,82.5,2932501794.0,2419382716.0,31,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Surry,14.5,16.82,86.5,163850800.0,138863072.0,117,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Sutton,15.04,26.94,56.1,593406841.0,332978078.0,135,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Swanzey,17.38,19.06,92.9,1102046352.0,1021278002.0,183,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Tamworth,14.14,14.43,98.4,744697730.0,726834263.0,110,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Temple,16.23,15.99,101.7,293393761.0,298348767.0,166,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Thompson & Meserve's,1.18,1.97,60.4,15498711.0,8982460.0,1,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Thornton,11.47,11.37,101.1,956318325.0,966363557.0,65,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Tilton,10.46,10.8,97.3,1109924898.0,1079564801.0,52,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Troy,15.72,18.59,85.5,305348791.0,261104045.0,153,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Tuftonboro,5.83,7.62,76.6,2469496808.0,1891773240.0,14,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Unity,17.26,17.43,99.2,249892681.0,247906431.0,182,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Wakefield,7.17,7.52,95.5,2384853162.0,2277079490.0,20,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Walpole,15.66,17.11,92.1,824193874.0,759107443.0,150,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Warner,16.47,30.89,53.9,629821988.0,339149527.0,170,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Warren,13.78,22.75,61.2,181337547.0,110716497.0,104,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Washington,11.25,15.24,73.9,505408222.0,373584855.0,62,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Waterville Valley,9.11,9.04,100.9,723210114.0,728495510.0,44,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Weare,14.29,20.39,70.5,1854249543.0,1305227191.0,114,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Webster,13.16,15.53,85.3,448009653.0,380114126.0,90,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Wentworth,11.79,22.2,53.3,248476922.0,132557249.0,70,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Wentworth's Location,4.6,7.56,60.4,23015338.0,14033628.0,9,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Westmoreland,16.01,23.06,70.0,292213643.0,204594546.0,162,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Whitefield,15.88,16.4,97.4,445926807.0,431724284.0,159,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Wilmot,15.3,25.6,60.0,389923410.0,234017244.0,142,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Wilton,18.2,24.87,73.5,778848819.0,572092325.0,192,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Winchester,16.64,29.25,57.6,593821462.0,340396297.0,172,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Windham,13.37,22.64,59.4,5397097049.0,3205426200.0,95,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Windsor,8.76,13.56,64.6,58398673.0,37770789.0,39,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Wolfeboro,8.27,15.9,52.1,4765416784.0,2481617637.0,32,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
Woodstock,9.47,20.32,46.8,631829427.0,294432922.0,47,2024,2024-comparison-of-full-value-tax-rates-ranking-order.pdf
