geoid,name,county,year,residential,commercial_industrial,utilities,other,gross
3300784420,Whitefield,Coos,2025,330019200,71591200,45397700,1041866,448049966
3300900580,Alexandria,Grafton,2025,282570400,7387100,13188600,930638,304076738
3300902020,Ashland,Grafton,2025,372530560,50022498,32784400,212421,455549879
3300903940,Bath,Grafton,2025,127286900,4746900,24868100,2198842,159100742
3300905060,Benton,Grafton,2025,52695600,660500,2292700,471732,56120532
3300905460,Bethlehem,Grafton,2025,421319122,99873100,26473100,1289896,548955218
3300907540,Bridgewater,Grafton,2025,765174100,29437100,19033500,749500,814394200
3300907700,Bristol,Grafton,2025,947323300,86278200,25729900,541450,1059872850
3300908660,Campton,Grafton,2025,808741401,45097500,46522800,1255380,901617081
3300908980,Canaan,Grafton,2025,430355918,36555363,8002600,1307173,476221054
3300918740,Dorchester,Grafton,2025,87509100,538200,2388300,1438475,91874075
3300922020,Easton,Grafton,2025,130269598,828900,4755400,341630,136195528
3300923860,Ellsworth,Grafton,2025,41729900,2187400,461800,92989,44472089
3300924340,Enfield,Grafton,2025,996424286,72807600,14121600,1095535,1084449021
3300927300,Franconia,Grafton,2025,393106600,40417700,4220600,374457,438119357
3300930820,Grafton,Grafton,2025,267186502,4753932,4401600,1755977,278098011
3300932180,Groton,Grafton,2025,98973200,130100,11112660,624667,110840627
3300933860,Hanover,Grafton,2025,2924827234,972737233,22990100,1776534,3922331101
3300934820,Haverhill,Grafton,2025,580627210,89184018,33384900,3236389,706432517
3300935220,Hebron,Grafton,2025,405299900,6341200,5016800,176968,416834868
3300936900,Holderness,Grafton,2025,1278037028,88018851,55595700,1124337,1422775916
3300940660,Landaff,Grafton,2025,59678634,547100,1303500,555679,62084913
3300941300,Lebanon,Grafton,2025,1901293996,1534791246,149093425,1199677,3586378344
3300941860,Lincoln,Grafton,2025,1202408700,161912474,9273200,40350,1373634724
3300942020,Lisbon,Grafton,2025,184899022,38683900,6698800,1459535,231741257
3300942580,Littleton,Grafton,2025,837747912,379742240,118513800,1667870,1337671822
3300944100,Lyman,Grafton,2025,117675700,2530200,3902400,1421263,125529563
3300944260,Lyme,Grafton,2025,396485000,20388800,4020600,2200700,423095100
3300948980,Monroe,Grafton,2025,130721800,10038900,193493400,863513,335117613
3300958340,Orange,Grafton,2025,69760800,1081100,988300,676260,72506460
3300958500,Orford,Grafton,2025,257184088,20497600,4647400,2136723,284465811
3300961060,Piermont,Grafton,2025,127502100,2880800,2435200,1425588,134243688
3300962660,Plymouth,Grafton,2025,572029258,219038483,24889600,1118169,817075510
3300965940,Rumney,Grafton,2025,331150035,26079000,18003300,1196012,376428347
