state,burden_pct,burden_rank,collections_percap,collections_rank,prop_pct,sales_pct,individual_income_pct,corporate_income_pct,other_pct,eff_property_rate,eff_property_rank,hh_property_pc,hh_income_pc,hh_sales_pc,hh_excise_pc,hh_income_percap,hh_persons_per_household,hh_burden_pct,hh_burden_rank
Tennessee,7.6,3,4912,49,20.8,46.7,0.0,9.0,23.5,0.52,41,1023,0,2291,653,66504,2.42,5.97,3
Texas,8.6,6,5737,34,40.7,37.7,0.0,0.0,21.6,1.4,7,2337,0,2163,747,69823,2.68,7.51,17
United States,11.2,,7038,,28.9,25.2,21.9,6.5,17.6,0.9,,2034,1539,1771,737,73204,2.5,8.31,
Utah,12.1,40,6239,27,23.0,29.9,30.5,4.1,12.5,0.48,48,1438,1901,1865,562,67333,2.91,8.56,33
Vermont,13.6,47,8462,9,39.2,11.1,22.1,5.5,22.2,1.51,4,3320,1867,936,1417,71287,2.18,10.58,48
Virginia,12.5,43,7043,19,30.8,15.1,27.1,7.1,19.8,0.78,28,2167,1911,1067,974,77351,2.49,7.91,23
Washington,10.7,30,7745,14,26.0,37.6,1.4,0.0,35.0,0.75,30,2013,108,2915,960,85187,2.46,7.04,13
West Virginia,9.8,22,5710,35,19.4,19.1,26.6,4.1,30.7,0.51,42,1109,1520,1089,987,55351,2.32,8.5,32
Wisconsin,10.9,32,6030,28,30.6,22.6,25.8,7.5,13.5,1.32,10,1848,1553,1364,518,67755,2.29,7.8,21
Wyoming,7.5,2,8037,12,35.5,29.3,0.0,0.0,35.2,0.53,40,2851,0,2358,373,86477,2.24,6.45,7
