district_id,year,function_code,function_name,amount,pct
19,2013,3100,Food Service,70515.54000000001,1.8
19,2013,4000,Facility Construction,0.0,
19,2013,5100,Bonds & Notes Principal Repayment,0.0,
23,2013,1100,Regular Education,1518757.0,53.3
23,2013,1200,Special Programs,187457.0,6.6
23,2013,1300,Vocational Programs,0.0,0.0
23,2013,1400,Other Instructional Programs,39838.0,1.4
23,2013,2100,Student Support Services,228669.0,8.0
23,2013,2200,Instructional Staff Support,170060.0,6.0
23,2013,2300&2800,Genral Administration & Business,91514.0,3.2
23,2013,2400,School Administration,157990.0,5.5
23,2013,2500,Business Services,0.0,0.0
23,2013,2600,Plant Operations,321369.0,11.3
23,2013,2700,Transportation,63129.0,2.2
23,2013,2900,Other Support Services,0.0,0.0
23,2013,1500,Non-public Programs,0.0,0.0
23,2013,"1600-1800,2750",Community Programs,0.0,0.0
23,2013,5120,Bond Interest,0.0,0.0
23,2013,5310+5390,Charter Schools/Other Agencies,0.0,0.0
23,2013,3100,Food Service,73040.65,2.6
23,2013,4000,Facility Construction,70171.0,
23,2013,5100,Bonds & Notes Principal Repayment,0.0,
29,2013,1100,Regular Education,5942219.0,53.9
29,2013,1200,Special Programs,2201198.0,20.0
29,2013,1300,Vocational Programs,0.0,0.0
29,2013,1400,Other Instructional Programs,45991.0,0.4
29,2013,2100,Student Support Services,704542.0,6.4
29,2013,2200,Instructional Staff Support,123515.0,1.1
29,2013,2300&2800,Genral Administration & Business,431586.0,3.9
29,2013,2400,School Administration,345522.0,3.1
29,2013,2500,Business Services,4095.0,0.0
29,2013,2600,Plant Operations,609368.0,5.5
29,2013,2700,Transportation,557947.0,5.1
29,2013,2900,Other Support Services,0.0,0.0
29,2013,1500,Non-public Programs,0.0,0.0
29,2013,"1600-1800,2750",Community Programs,0.0,0.0
29,2013,5120,Bond Interest,0.0,0.0
29,2013,5310+5390,Charter Schools/Other Agencies,0.0,0.0
29,2013,3100,Food Service,50193.72,0.5
29,2013,4000,Facility Construction,28575.0,
29,2013,5100,Bonds & Notes Principal Repayment,0.0,
31,2013,1100,Regular Education,6061835.0,57.6
31,2013,1200,Special Programs,1416272.0,13.5
31,2013,1300,Vocational Programs,0.0,0.0
