district_id,year,source_code,source_name,amount,pct
41,2025,R_tuition_food_other_local,"Tuition, Food & Other Local Services",2374241.2299999967,2.7
41,2025,3111&3112&3119,State Foundation/Adequacy Aid,18281626.0,20.8
41,2025,3120-3900,Other State Aid,1808018.0,2.1
41,2025,4000,Federal Aid,1835329.0,2.1
41,2025,5300-5600,Other,0.0,0.0
41,2025,5110&5140,Sales of Bonds & Notes,0.0,
726,2025,1100,Local Property Tax,0.0,0.0
726,2025,R_tuition_food_other_local,"Tuition, Food & Other Local Services",139795.0,13.4
726,2025,3111&3112&3119,State Foundation/Adequacy Aid,630507.0,60.2
726,2025,3120-3900,Other State Aid,16294.0,1.6
726,2025,4000,Federal Aid,260380.0,24.9
726,2025,5300-5600,Other,0.0,0.0
726,2025,5110&5140,Sales of Bonds & Notes,0.0,
47,2025,1100,Local Property Tax,454071.0,65.0
47,2025,R_tuition_food_other_local,"Tuition, Food & Other Local Services",13124.0,1.9
47,2025,3111&3112&3119,State Foundation/Adequacy Aid,188181.0,27.0
47,2025,3120-3900,Other State Aid,3856.0,0.6
47,2025,4000,Federal Aid,38831.0,5.6
47,2025,5300-5600,Other,0.0,0.0
47,2025,5110&5140,Sales of Bonds & Notes,0.0,
51,2025,1100,Local Property Tax,9096331.0,35.3
51,2025,R_tuition_food_other_local,"Tuition, Food & Other Local Services",1834652.1899999995,7.1
51,2025,3111&3112&3119,State Foundation/Adequacy Aid,11531998.0,44.8
51,2025,3120-3900,Other State Aid,140450.0,0.5
51,2025,4000,Federal Aid,3163094.0,12.3
51,2025,5300-5600,Other,0.0,0.0
51,2025,5110&5140,Sales of Bonds & Notes,0.0,
53,2025,1100,Local Property Tax,2670098.0,66.3
53,2025,R_tuition_food_other_local,"Tuition, Food & Other Local Services",48820.70999999996,1.2
53,2025,3111&3112&3119,State Foundation/Adequacy Aid,1014210.0,25.2
53,2025,3120-3900,Other State Aid,115782.0,2.9
53,2025,4000,Federal Aid,180180.0,4.5
53,2025,5300-5600,Other,0.0,0.0
53,2025,5110&5140,Sales of Bonds & Notes,0.0,
57,2025,1100,Local Property Tax,23508575.0,64.6
57,2025,R_tuition_food_other_local,"Tuition, Food & Other Local Services",4779488.699999999,13.1
57,2025,3111&3112&3119,State Foundation/Adequacy Aid,6725855.0,18.5
57,2025,3120-3900,Other State Aid,424701.0,1.2
57,2025,4000,Federal Aid,967239.0,2.7
57,2025,5300-5600,Other,0.0,0.0
57,2025,5110&5140,Sales of Bonds & Notes,0.0,
63,2025,1100,Local Property Tax,5452045.0,76.8
63,2025,R_tuition_food_other_local,"Tuition, Food & Other Local Services",136373.419999999,1.9
63,2025,3111&3112&3119,State Foundation/Adequacy Aid,1373765.0,19.3
63,2025,3120-3900,Other State Aid,1795.0,0.0
63,2025,4000,Federal Aid,135646.0,1.9
63,2025,5300-5600,Other,0.0,0.0
63,2025,5110&5140,Sales of Bonds & Notes,1278400.0,
71,2025,1100,Local Property Tax,8586345.0,68.7
71,2025,R_tuition_food_other_local,"Tuition, Food & Other Local Services",153983.00999999978,1.2
71,2025,3111&3112&3119,State Foundation/Adequacy Aid,3033330.0,24.3
71,2025,3120-3900,Other State Aid,165905.0,1.3
71,2025,4000,Federal Aid,552595.0,4.4
71,2025,5300-5600,Other,0.0,0.0
71,2025,5110&5140,Sales of Bonds & Notes,0.0,
723,2025,1100,Local Property Tax,0.0,0.0
723,2025,R_tuition_food_other_local,"Tuition, Food & Other Local Services",25196.74,6.3
723,2025,3111&3112&3119,State Foundation/Adequacy Aid,335160.0,83.6
723,2025,3120-3900,Other State Aid,12364.0,3.1
723,2025,4000,Federal Aid,28380.0,7.1
723,2025,5300-5600,Other,0.0,0.0
723,2025,5110&5140,Sales of Bonds & Notes,0.0,
75,2025,1100,Local Property Tax,6110500.0,68.2
75,2025,R_tuition_food_other_local,"Tuition, Food & Other Local Services",233982.5700000003,2.6
75,2025,3111&3112&3119,State Foundation/Adequacy Aid,1979054.0,22.1
75,2025,3120-3900,Other State Aid,71910.0,0.8
75,2025,4000,Federal Aid,560746.0,6.3
75,2025,5300-5600,Other,0.0,0.0
75,2025,5110&5140,Sales of Bonds & Notes,0.0,
79,2025,1100,Local Property Tax,7754842.0,73.5
79,2025,R_tuition_food_other_local,"Tuition, Food & Other Local Services",68704.70999999996,0.7
79,2025,3111&3112&3119,State Foundation/Adequacy Aid,2007631.0,19.0
79,2025,3120-3900,Other State Aid,296256.0,2.8
79,2025,4000,Federal Aid,422028.0,4.0
79,2025,5300-5600,Other,0.0,0.0
79,2025,5110&5140,Sales of Bonds & Notes,0.0,
91,2025,1100,Local Property Tax,465207.0,64.1
91,2025,R_tuition_food_other_local,"Tuition, Food & Other Local Services",5128.790000000037,0.7
91,2025,3111&3112&3119,State Foundation/Adequacy Aid,209508.0,28.9
91,2025,3120-3900,Other State Aid,2100.0,0.3
91,2025,4000,Federal Aid,43396.0,6.0
91,2025,5300-5600,Other,0.0,0.0
